time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1702338674921000000,0.937,0,0,3.3220109939575195,13.840999603271484,0,0,247,19.9023384,50.0697132
1702338679948000000,5.964,0,0,4.206609725952148,17.41699981689453,1.109342098236084,266.1114196777344,256,19.9022104,50.0697076
1702338685002000000,11.017999755859375,0,0,2.9591057300567627,14.307999610900879,1.037894606590271,71.13367462158203,256,19.9022866,50.0697237
1702338690039000000,16.055,0,0,4.4759135246276855,14.625,0.9078601598739624,108.18351745605469,247,19.9023472,50.0697097
1702338695075000000,21.091,0,0,2.3381266593933105,20,0.12532034516334534,287.4342041015625,247,19.9023357,50.069712
1702338700109000000,26.125,0,0,5.617475986480713,20,1.9054031372070312,262.22918701171875,247,19.9021951,50.0696996
1702338705143000000,31.159,0,0,4.327803134918213,16.253000259399414,0.18747305870056152,270.7157287597656,247,19.9021889,50.0697004
1702338710174000000,36.19000024414063,0,0,2.7834038734436035,13.128000259399414,1.485454797744751,84.29876708984375,256,19.9022987,50.0697073
1702338715218000000,41.23399975585937,0,0,2.6148133277893066,14.104000091552734,0.15133319795131683,287.63372802734375,256,19.902284,50.0697092
1702338720250000000,46.265999755859376,0,0,8.823295593261719,20,1.2102739810943604,263.3695983886719,247,19.902196,50.0697026
1702338725323000000,51.339,0,0,2.763314962387085,14.090999603271484,0.8134657740592957,85.51538848876953,256,19.9022622,50.069706
1702338730347000000,56.363,0,0,2.38808274269104,21.57900047302246,0.7687065601348877,91.75289916992188,256,19.9023162,50.0697048
1702338735367000000,61.383,0,0,2.712031364440918,15.335000038146973,0.9803628921508789,275.694091796875,256,19.9022395,50.0697095
1702338740406000000,66.42200024414062,0,0,2.706968307495117,13.57699966430664,0.5322191715240479,96.78223419189453,256,19.9022816,50.0697064
1702338745443000000,71.459,0,0,4.958883762359619,21.23699951171875,0.6748721599578857,85.30806732177734,247,19.9023295,50.0697091
1702338750471000000,76.487,0,0,1,20,2.0996856689453125,259.993408203125,256,19.9021714,50.0696914
1702338755508000000,81.524,0,0,5.2864766120910645,20,0.15778765082359314,325.569091796875,256,19.9021733,50.0696986
1702338760554000000,86.56999975585937,0,0,4.077603340148926,20,0.044460050761699677,0,256,19.9021763,50.0696995
1702338765578000000,91.59399975585937,0,0,5.184812068939209,20,0.007676451932638884,0,256,19.9021767,50.0696993
1702338770617000000,96.633,0,0,5.194446563720703,20,0.09246683120727539,0,256,19.9021709,50.0697018
1702338775643000000,101.659,0,0,4.712169647216797,20,0.3492746949195862,100.75432586669922,247,19.9021968,50.0696985
1702338780716000000,106.732,0,0,5.034712314605713,20,0.2605969309806824,270.7691345214844,256,19.9021758,50.0696988
1702338785748000000,111.764,0,0,3.252321720123291,20,0.20731140673160553,79.34038543701172,247,19.9021921,50.0697007
1702338790765000000,116.781,0,0,7.769642353057861,20.59000015258789,0.15233214199543,315.1979064941406,256,19.9021832,50.0697057
1702338795809000000,121.825,0,0,6.091540813446045,20,0.1118767261505127,231.07192993164062,256,19.9021772,50.0697021
1702338800837000000,126.853,0,0,7.015039920806885,20,0.08925826102495193,0,256,19.9021721,50.0697047
1702338805864000000,131.88,0,0,4.6340813636779785,20,0.11841568350791931,156.98973083496094,256,19.9021758,50.0696993
1702338810923000000,136.939,0,0,2.792443037033081,15.984000205993652,0.04446382448077202,0,256,19.9021738,50.0696979
1702338815942000000,141.95800024414064,0,0,1.9349912405014038,20,0.09116272628307343,0,256,19.902179,50.0697007
1702338820985000000,147.001,0,0,7.821799278259277,20,0.10763141512870789,328.51055908203125,256,19.9021745,50.069705
