time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1702338674086354000,0.10235400390625,-0.884585976600647,-0.11589699983596802,0.16437700390815735,0.4207780063152313,0.2072705775499344,-0.3505071699619293,2.2904181480407715
1702338674185616600,0.20161669921875,-0.8936629891395569,-0.0729760006070137,0.19104799628257751,0.3994249999523163,0.29970893263816833,-0.2869732975959778,2.3445801734924316
1702338674284896300,0.300896240234375,-0.9122750163078308,-0.19588999450206757,0.06589999794960022,0.3536059856414795,-0.020004481077194214,-0.415903240442276,2.3978123664855957
1702338674384143000,0.40014306640625,-0.9013090133666992,-0.15182699263095856,0.07492399960756302,0.398716002702713,0.01483724731951952,-0.33994248509407043,2.3111484050750732
1702338674483407000,0.499406982421875,-0.880096971988678,-0.18837200105190277,0.0694269984960556,0.4302600026130676,-0.04336332157254219,-0.4020596444606781,2.223332405090332
1702338674582669600,0.598669677734375,-0.8738179802894592,-0.21620799601078033,0.05616600066423416,0.43190300464630127,-0.09811115264892578,-0.4404752552509308,2.201502561569214
1702338674681933800,0.697933837890625,-0.8683469891548157,-0.25693899393081665,0.03248399868607521,0.42296499013900757,-0.18377430737018585,-0.49349141120910645,2.1886439323425293
1702338674781194800,0.79719482421875,-0.8567529916763306,-0.2715890109539032,0.014070999808609486,0.43819400668144226,-0.24595697224140167,-0.4980360269546509,2.1332030296325684
1702338674880460300,0.896460205078125,-0.8392170071601868,-0.28402599692344666,0.00034500000765547156,0.4637259840965271,-0.30371102690696716,-0.4972824156284332,2.0542922019958496
1702338674979722800,0.99572265625,-0.8338840007781982,-0.2593579888343811,0.006327999755740166,0.48716500401496887,-0.27283549308776855,-0.4541676640510559,2.0207152366638184
1702338675078985200,1.094985107421875,-0.8162149786949158,-0.31058400869369507,0.007422000169754028,0.4871079921722412,-0.3455035984516144,-0.5401180982589722,1.9689500331878662
1702338675178249500,1.19424951171875,-0.7964919805526733,-0.3025220036506653,0.02790299989283085,0.522782027721405,-0.321812242269516,-0.5364490151405334,1.8907690048217773
1702338675277512000,1.293511962890625,-0.7502909898757935,-0.26846298575401306,0.06463900208473206,0.6006749868392944,-0.2600759267807007,-0.5012301802635193,1.7244575023651123
1702338675376776000,1.39277587890625,-0.7026339769363403,-0.23720000684261322,0.08379200100898743,0.6655970215797424,-0.2229345738887787,-0.4610324203968048,1.5723943710327148
1702338675476038400,1.492038330078125,-0.6532469987869263,-0.2372570037841797,0.08956000208854675,0.7134100198745728,-0.24893805384635925,-0.45310670137405396,1.4251407384872437
1702338675575302400,1.591302490234375,-0.5947359800338745,-0.19330400228500366,0.059140998870134354,0.7780889868736267,-0.24590185284614563,-0.3278028070926666,1.264378309249878
1702338675674564900,1.69056494140625,-0.5438410043716431,-0.09613700211048126,0.014210999943315983,0.8335409760475159,-0.14654110372066498,-0.12861165404319763,1.1467312574386597
