time,seconds_elapsed,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1702338694736000000,0.815,12.947999954223633,0.16496489942073822,124.50887298583984,256,19.9023656,50.0697022
1702338704793000000,10.872,15.352999687194824,1.065839409828186,269.7066955566406,256,19.9022136,50.0697018
1702338714904000000,20.983,15.592000007629395,0.5898743271827698,90.60778045654297,256,19.9023012,50.0697012
1702338725020000000,31.099,11.484000205993652,0.22700870037078857,46.92169952392578,256,19.9023237,50.0697156
1702338730084000000,36.163,11.512999534606934,0.3218683898448944,278.8411560058594,256,19.9023014,50.0697163
1702338735114000000,41.192999755859375,11.47599983215332,0.2205018550157547,92.90048217773438,256,19.9023194,50.0697157
1702338745160000000,51.239,16.197999954223633,1.0946358442306519,263.46533203125,247,19.9021611,50.0697041
1702338750126000000,56.20500024414063,14.887999534606934,1.999464988708496,83.31246948242188,256,19.9023093,50.0697153
1702338755124000000,61.203,14.711000442504883,1.3601226806640625,260.2254333496094,247,19.9021966,50.0697032
1702338760144000000,66.223,14.432999610900879,0.5486097931861877,281.7408447265625,256,19.9021642,50.0697097
1702338765184000000,71.263,14.652000427246094,0.023810461163520813,0,256,19.9021656,50.0697091
1702338775235000000,81.314,18.746000289916992,0.1770302653312683,107.99018859863281,256,19.9021903,50.069704
1702338785461000000,91.54,18.972000122070312,0.09743950515985489,0,256,19.9021764,50.069707
1702338795460000000,101.539,18.555999755859375,0.14207303524017334,225.1872100830078,247,19.9021622,50.0696978
1702338800553000000,106.632,19.069000244140625,0.20832516252994537,24.154499053955078,256,19.902169,50.0697072
1702338805689000000,111.768,15.20300006866455,0.04934055358171463,0,256,19.9021647,50.0697072
1702338815671000000,121.75,14.84000015258789,0.0038981749676167965,0,256,19.9021644,50.0697072
1702338820720000000,126.799,16.82699966430664,0.21046960353851318,92.89218139648438,256,19.9021799,50.0697067
1702338825709000000,131.788,17.013999938964844,0.02003796398639679,0,256,19.9021769,50.0697072
1702338830644000000,136.723,17.336999893188477,0.057720307260751724,0,256,19.9021728,50.0697063
1702338835676000000,141.755,19.52899932861328,0.07266329228878021,0,256,19.9021771,50.069709
1702338840889000000,146.968,19.34000015258789,0.004814954474568367,0,256,19.9021771,50.0697087
1702338845871000000,151.95,19.36199951171875,0.06313986331224442,0,256,19.9021722,50.0697079
1702338855991000000,162.07,17.305999755859375,0.02933671697974205,0,256,19.902171,50.0697054
1702338860934000000,167.0130002441406,18.231000900268555,0.0800185278058052,0,256,19.9021652,50.0697053
1702338865982000000,172.06100024414062,17.011999130249023,0.005035808309912682,0,256,19.9021657,50.0697055
1702338870955000000,177.034,15.857000350952148,0.0649631917476654,0,256,19.902163,50.0697028
1702338886010000000,192.08899975585936,14.82800006866455,0,0,256,19.9021678,50.0697028
1702338891074000000,197.15299975585938,15.652999877929688,0.088674396276474,0,256,19.9021674,50.0697087
1702338896106000000,202.18499975585937,19.738000869750977,0.15668007731437683,335.2147521972656,256,19.9021625,50.0697154
1702338906319000000,212.398,20.083999633789062,0.648220956325531,189.17710876464844,256,19.9021474,50.0696529
1702338911321000000,217.4,19.239999771118164,1.2256203889846802,16.151269912719727,256,19.9021732,50.0697109
1702338916282000000,222.36099975585938,19.999000549316406,0.922641396522522,194.03834533691406,256,19.9021527,50.0696594
1702338921406000000,227.48500024414062,19.562000274658203,0.7736347913742065,17.55615997314453,256,19.9021738,50.0697033
1702338926344000000,232.423,19.63800048828125,0.20861679315567017,21.34807014465332,256,19.9021777,50.069709
1702338936455000000,242.534,19.631999969482422,0.03459807485342026,0,256,19.9021809,50.0697058
1702338941415000000,247.494,20.507999420166016,0.08217869699001312,0,256,19.9021869,50.069706
1702338946420000000,252.499,21.02199935913086,0.25370174646377563,298.958251953125,256,19.9021682,50.0697123
1702338951421000000,257.5,20.035999298095703,3.993587017059326,80.76322174072266,246.89999389648438,19.9024842,50.0697443
1702338961642000000,267.7209997558594,20.138999938964844,0.2335166335105896,100.3332290649414,246.89999389648438,19.9024905,50.0697373
1702338966651000000,272.73,19.01799964904785,4.164260387420654,261.91705322265625,256,19.9021824,50.0697094
1702338971690000000,277.7689997558594,13.66100025177002,1.4944432973861694,86.43811798095703,256,19.9023353,50.0697173
