time,seconds_elapsed,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1702338695500000000,1.337,16.889999389648438,0,0,246.20001220703125,19.9022714,50.0697068
1702338705590000000,11.427000244140626,22.680999755859375,0.46142929792404175,275.1110534667969,246.20001220703125,19.9022355,50.069677
1702338716868000000,22.705,16.783000946044922,0.15988342463970184,289.9034729003906,255.20001220703125,19.9022207,50.0696828
1702338728138000000,33.97499975585937,17.000999450683594,0.04932347312569618,280.5338439941406,246.20001220703125,19.9022151,50.0696831
1702338736287883500,42.12488354492187,7.5,0,0,246.20001220703125,19.9027483,50.0696717
1702338738040028700,43.87702856445313,51.75,0.003541589481756091,202.95870971679688,246.20001220703125,19.9027458,50.0696679
1702338740015656000,45.85265600585937,73.875,0.030472466722130775,221.09454345703125,246.20001220703125,19.9027378,50.0696627
1702338741937000000,47.774,98.41300201416016,0.09205865859985352,233.53651428222656,246.20001220703125,19.9027287,50.0696591
1702338743026422000,48.86342211914062,97.7229995727539,0.18757934868335724,242.62545776367188,246.20001220703125,19.9027174,50.0696563
1702338744026302200,49.86330224609375,97.7229995727539,0.26312491297721863,237.5435028076172,246.20001220703125,19.9027105,50.0696526
1702338745029952800,50.86695288085937,98.01100158691406,0.345240980386734,229.6630401611328,246.20001220703125,19.9027041,50.0696472
1702338746030517200,51.867517333984374,98.01100158691406,0.425807923078537,227.1012420654297,246.20001220703125,19.9026966,50.0696418
1702338748027617300,53.8646171875,96,0.5768852233886719,225.7975311279297,246.20001220703125,19.9026792,50.0696304
1702338749028934100,54.86593408203125,96,0.6594483852386475,223.2904815673828,246.20001220703125,19.9026701,50.0696226
1702338751029627600,56.866627685546874,96,0.7105711102485657,218.77755737304688,246.20001220703125,19.902658,50.0696095
1702338760035378000,65.8723779296875,16,2.7207231521606445,40.261253356933594,246.20001220703125,19.9029874,50.06986
1702338762029816600,67.86681665039063,69.33300018310547,2.725410223007202,40.38140106201172,246.20001220703125,19.9030372,50.0698973
1702338764033687800,69.87068774414062,80,2.617358684539795,40.70882797241211,246.20001220703125,19.9030832,50.069931
1702338766030485500,71.86748559570313,96,2.418517827987671,36.94480514526367,246.20001220703125,19.9031125,50.0699641
1702338767030812400,72.8678125,96.25800323486328,2.398247480392456,32.00505447387695,246.20001220703125,19.9031188,50.0699861
1702338768033647600,73.87064770507813,96.25800323486328,2.550548553466797,29.88993263244629,246.20001220703125,19.9031367,50.0700132
1702338770039832800,75.87683276367187,96.25800323486328,3.182206153869629,26.38469886779785,246.20001220703125,19.9031853,50.0700889
1702338772036174000,77.87317407226563,96,4.245927333831787,22.754533767700195,246.20001220703125,19.9032472,50.0702048
1702338774030852900,79.86785278320312,96,4.180295944213867,17.765342712402344,246.20001220703125,19.9032594,50.0702803
1702338776031142000,81.86814184570312,96,3.628058910369873,14.512137413024902,246.20001220703125,19.9032606,50.0703235
1702338777031361000,82.86836108398437,96,3.1363909244537354,11.8970365524292,246.20001220703125,19.9032477,50.0703274
1702338778041775000,83.87877514648437,96,1.7278647422790527,29.54998779296875,246.20001220703125,19.9032551,50.070302
1702338780038814200,85.87581420898438,96,1.6235793828964233,31.840768814086914,246.20001220703125,19.9032626,50.0703174
1702338782030554400,87.86755444335938,96,1.3940972089767456,33.95796585083008,246.20001220703125,19.9032759,50.0703298
1702338783033879800,88.8708798828125,96,1.281867504119873,41.49265670776367,246.20001220703125,19.9032825,50.0703338
1702338785030758700,90.86775854492187,96,1.1642014980316162,45.826622009277344,246.20001220703125,19.9033008,50.0703413
1702338786030322700,91.86732275390625,96,1.116960048675537,46.93971633911133,246.20001220703125,19.9033095,50.0703439
1702338787030839300,92.86783935546875,96,1.0749355554580688,45.10771942138672,246.20001220703125,19.9033176,50.070346
1702338789028595000,94.86559497070313,96,0.9717695713043213,39.347984313964844,246.20001220703125,19.9033316,50.0703509
1702338790043730200,95.88073022460938,96,0.9123957753181458,35.180931091308594,246.20001220703125,19.9033361,50.0703533
1702338792028321500,97.86532153320313,96,0.03523097187280655,55.55049514770508,246.20001220703125,19.903343,50.0703547
1702338793029790200,98.86679028320313,96,0.0014797492185607553,62.580326080322266,246.20001220703125,19.9033383,50.0703499
1702338795028767200,100.86576733398438,96,0.00012068338401149958,221.79190063476562,246.20001220703125,19.9033208,50.0703289
1702338796040087600,101.87708764648437,96,0.00015772244660183787,222.16372680664062,246.20001220703125,19.9033092,50.0703147
1702338798030367000,103.86736694335937,96,0.00020144190057180822,219.68783569335938,246.20001220703125,19.9032842,50.0702817
1702338800032637200,105.86963720703125,96,0.00021140479657333344,220.84500122070312,246.20001220703125,19.9032562,50.0702455
1702338802034961200,107.87196118164063,96,0.00019893590069841594,222.0535888671875,246.20001220703125,19.9032308,50.070214
1702338803039471600,108.8764716796875,96,0.00018811915651895106,222.76553344726562,246.20001220703125,19.903219,50.0702
1702338805028914400,110.86591455078126,96,0.00016558777133468539,221.95848083496094,246.20001220703125,19.9031984,50.0701746
1702338806035320300,111.8723203125,96,0.0001604149874765426,222.4381561279297,246.20001220703125,19.9031889,50.0701632
1702338808031029000,113.86802905273437,73.32499694824219,0.000026156059902859852,226.33782958984375,246.20001220703125,19.9029707,50.0698979
1702338810033676500,115.87067651367188,55.6879997253418,0.000012027737284370232,232.79273986816406,246.20001220703125,19.9029663,50.0698887
1702338812031638500,117.86863842773438,55.71099853515625,0.000017388501873938367,255.46531677246094,246.20001220703125,19.902953,50.0698817
1702338813031853800,118.86885375976563,55.72200012207031,0.00001286151928070467,255.3321990966797,246.20001220703125,19.9029495,50.0698817
