time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1702338612343276000,0.058276123046875,0,0,8.600000381469727,4.320000171661377,0.0006267878925427794,0,250.4,19.9028288,50.0695524
1702338613354696400,1.069696533203125,0,0,8.600000381469727,4.300000190734863,0.0003091208927799016,0,250.4,19.9028262,50.0695519
1702338615302094300,3.01709423828125,0,0,192,96,0.0000021559408196480945,0,250.4,19.9028262,50.0695519
1702338616301728000,4.01672802734375,0,0,3.5812621116638184,22.46299934387207,0.005497369449585676,0,256,19.9026162,50.069594
1702338617302322400,5.017322509765625,0,0,3.5912680625915527,22.46299934387207,0.004531080834567547,0,256,19.9025249,50.069612
1702338618302054000,6.017053955078125,0,0,3.6012654304504395,22.46299934387207,0.0036627016961574554,0,256,19.9024463,50.0696274
1702338619299864600,7.014864501953125,0,0,3.611243486404419,22.46299934387207,0.0028365766629576683,0,256,19.902382,50.0696398
1702338620302296000,8.017296142578125,0,0,3.621267795562744,22.46299934387207,0.002179089467972517,0,256,19.9023307,50.0696497
1702338621309303300,9.02430322265625,0,0,3.1577250957489014,19.441999435424805,0.003860214026644826,0,256,19.9022927,50.0696901
1702338622309090600,10.024090576171876,0,0,3.1677229404449463,17.930999755859375,0.0025045478250831366,0,256,19.9022846,50.0696987
1702338623302994200,11.017994140625,0,0,3.177661895751953,16.42099952697754,0.0016554936300963163,0,256,19.9022793,50.0697042
1702338624347313700,12.062313720703125,0,0,3.1881051063537598,14.90999984741211,0.001042081043124199,0,256,19.9022759,50.0697078
1702338625324650000,13.03964990234375,0,0,3.19787859916687,13.399999618530273,0.0006577767780981958,0,256,19.9022737,50.06971
1702338626351410200,14.06641015625,0,0,3.1971585750579834,14.519000053405762,0.0003348652389831841,0,256,19.9022679,50.0697121
1702338627338913800,15.053913818359375,0,0,3.207033634185791,15.079000473022461,0.00025121457292698324,0,256,19.9022656,50.069713
