time,seconds_elapsed,z,y,x
1702338674349034200,0.2310341796875,0.0038391994312405586,0.0024821078404784203,-0.0014177769189700484
1702338674449803300,0.33180322265625,-0.6072463393211365,0.4870730936527252,0.24649500846862793
1702338674550480600,0.432480712890625,0.702480673789978,1.5864791870117188,0.5357398986816406
1702338674651219200,0.53321923828125,0.12128404527902603,1.612309455871582,0.8026224970817566
1702338674751927300,0.63392724609375,-0.7058100700378418,1.359961986541748,1.0976587533950806
1702338674852635400,0.734635498046875,-0.8622713088989258,0.7296329736709595,0.9108765125274658
1702338674953312800,0.835312744140625,0.7058815360069275,1.064765214920044,-0.37108370661735535
1702338675054051300,0.93605126953125,0.04451395943760872,1.3614819049835205,0.6248775720596313
1702338675154728700,1.036728759765625,1.7659162282943726,3.0924723148345947,0.6087321043014526
1702338675255436800,1.137436767578125,-2.1945414543151855,-1.971336007118225,2.810917615890503
1702338675356175400,1.23817529296875,-1.1870185136795044,-1.926721215248108,1.1564275026321411
1702338675456883200,1.33888330078125,0.8968474268913269,1.3911731243133545,-0.3415490388870239
1702338675557591300,1.43959130859375,1.4202516078948975,1.9043959379196167,-1.797163486480713
1702338675658299400,1.54029931640625,2.1350677013397217,1.9674040079116821,-3.170649766921997
1702338675759007200,1.64100732421875,-1.138924479484558,-1.367817759513855,-1.6237149238586426
1702338675859684900,1.741684814453125,-1.809859037399292,-0.9154389500617981,0.16858001053333282
1702338675960423400,1.84242333984375,0.6493636965751648,0.6178844571113586,-0.7148116230964661
1702338676061131300,1.94313134765625,1.1362918615341187,1.288398027420044,-0.889758288860321
1702338676866764800,2.748764892578125,4.66756010055542,-0.5796677470207214,-0.443800151348114
1702338676967473000,2.849472900390625,1.052767038345337,-0.43749529123306274,-0.03788179159164429
1702338677068211500,2.95021142578125,0.32986825704574585,-0.2345426231622696,0.0040511260740458965
1702338677168888800,3.050888916015625,0.26742056012153625,-0.11557028442621231,0.002182378200814128
1702338677269627400,3.15162744140625,0.00672367587685585,-0.0073613510467112064,0.00021188294340390712
