time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1702338742528000000,0.997,0,0,4.413825988769531,13.505000114440918,0,0,256,19.9023461,50.0697131
1702338748769000000,7.238,0,0,5.7146830558776855,20,1.2136573791503906,261.783935546875,247,19.9022107,50.0697006
1702338753812000000,12.281,0,0,3.3663482666015625,19.097999572753906,0.7644211053848267,269.9612731933594,256,19.9021595,50.0697013
1702338758386294300,16.855294189453126,0,0,3.661501169204712,32.0369987487793,0.10620365291833878,5.919703483581543,247,19.9021668,50.0697066
1702338763627391200,22.09639111328125,0,0,2.4130361080169678,15.630999565124512,0.18006476759910583,129.8306884765625,256,19.9021787,50.069699
1702338768916000000,27.385,0,0,2.716895818710327,17.034000396728516,0.11062294989824295,311.43255615234375,256,19.9021715,50.0697031
1702338773982000000,32.45100024414062,0,0,2.752098798751831,20,0.07059203088283539,0,256,19.9021677,50.0697006
1702338779026000000,37.494999755859375,0,0,3.0011281967163086,14.812000274658203,0.07170596718788147,0,256,19.9021655,50.0697041
1702338784077000000,42.546,0,0,5.0745015144348145,12.581999778747559,2.0453052520751953,86.51783752441406,256,19.9023224,50.0697099
1702338789117000000,47.586,0,0,2.145528554916382,16.413000106811523,1.8393486738204956,266.2231140136719,256,19.9021732,50.0697036
1702338794146000000,52.61499975585937,0,0,3.0313074588775635,18.46299934387207,0.24749262630939484,253.4447784423828,256,19.9021678,50.0697007
1702338799177000000,57.646,0,0,2.2607288360595703,13.1899995803833,0.10355940461158752,319.5617370605469,256,19.9021644,50.069705
1702338804215000000,62.684,0,0,1.520279049873352,20,0.11729330569505692,193.76324462890625,256,19.9021626,50.0696992
1702338809255000000,67.724,0,0,3.9088408946990967,17.01799964904785,0.16212783753871918,333.5483093261719,256,19.9021571,50.0697073
1702338814309000000,72.778,0,0,5.235376834869385,11.675999641418457,2.2154531478881836,85.28626251220703,247,19.9023299,50.0697158
1702338819364000000,77.833,0,0,1.9401347637176514,20,1.7904548645019531,260.0350646972656,256,19.9021867,50.0697002
1702338824364000000,82.833,0,0,1.4869881868362427,18.81100082397461,0.5728991031646729,265.8857116699219,256,19.9021576,50.0697
1702338829412000000,87.881,0,0,3.786909341812134,15.048999786376953,0.4114694893360138,83.03551483154297,247,19.9021939,50.0697027
1702338834449000000,92.918,0,0,3.988574981689453,17.363000869750977,0.3770991563796997,277.51971435546875,256,19.9021626,50.0697049
1702338839491000000,97.96,0,0,1.1480950117111206,20,0.16265209019184113,159.2736053466797,256,19.9021699,50.069697
1702338844538000000,103.00699975585937,0,0,1.7153161764144897,20,0.05972667783498764,0,256,19.9021647,50.0696978
1702338849546000000,108.01499975585938,0,0,1.334542155265808,20,0.06529827415943146,0,256,19.9021625,50.0697007
1702338854606000000,113.07500024414063,0,0,5.743741035461426,20,2.05141282081604,87.71166229248047,256,19.9023265,50.0697045
1702338857780010000,116.24901000976563,0,0,5.775481224060059,19.910999298095703,2.399205446243286,98.94287872314453,256,19.9024354,50.0696907
1702338858776503300,117.24550341796875,0,0,5.7854461669921875,19.881000518798828,1.8569098711013794,104.27435302734375,256,19.9024476,50.0696854
1702338859768307500,118.23730737304687,0,0,5.795363903045654,14.847999572753906,0.5926920771598816,90.00000762939453,256,19.9028676,50.0695997
1702338860763630800,119.232630859375,0,0,1.9522910118103027,12.361000061035156,0.062276117503643036,0,256,19.9028924,50.0695951
1702338861784599000,120.25359912109376,0,0,1.9625006914138794,10.868000030517578,0.007652814034372568,0,256,19.9028973,50.0695937
1702338862784999700,121.25399975585937,0,0,1.972504734992981,7.883999824523926,0.0013006801018491387,0,256,19.9028986,50.0695933
1702338863776788200,122.24578833007813,0,0,1.9824225902557373,4.900000095367432,0.0002974666131194681,0,256,19.902899,50.0695932
1702338865786065700,124.25506567382813,0,0,2.302931785583496,4.900000095367432,0.000011351760804245714,0,256,19.9028991,50.0695931
